Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Руслан Чернаков",hard,40,Completed,"Pyramid Scheme","Zone Bank_points_15","1","23:51:24","23:51:36",
Bot3,"Руслан Чернаков",hard,40,Completed,"Pyramid Scheme","Zone Bank_points_14","1","23:51:41","23:51:50",
Bot3,"Руслан Чернаков",hard,40,Completed,"Pyramid Scheme","Zone Bank_points_10","1","23:51:55","23:52:11",
Bot3,"Руслан Чернаков",hard,40,Completed,"Pyramid Scheme","Zone Bank_points_13","1","23:52:16","23:52:28",
Bot3,"Руслан Чернаков",hard,40,Completed,"Pyramid Scheme","Zone Bank_points_11","1","23:52:33","23:53:42",
Bot3,"Руслан Чернаков",hard,40,Failed,"Pyramid Scheme","Zone Bank_points_12","1","23:53:47","23:56:28",
Bot7,"Захар Муравьёв",normal,49,Completed,"The Huntsman Path - Administrator","Zone quest_zone_kill_c17_adm","1","23:51:27","23:54:18",
Bot7,"Захар Муравьёв",normal,49,Failed,"Debtor","Zone quest_zone_c29_debt","1","23:54:23","23:55:11",
Bot7,"Захар Муравьёв",normal,49,Active,"House Arrest - Part 2","Zone quest_zone_c8_dom2_dead","1","23:55:17","N/A",
Bot10,"Артемий Мухин",hard,50,Pending,"Spotter","Zone quest_zone_keeper8_1_hide1","1","23:51:28","N/A",
Bot10,"Артемий Мухин",hard,50,Active,"Spotter","Zone quest_zone_keeper8_1","1","23:52:04","N/A",
Bot11,"Леонтий Рындин",easy,35,Pending,"House Arrest - Part 1","Zone quest_zone_c8_dom1","1","23:51:28","N/A",
Bot11,"Леонтий Рындин",easy,35,Failed,"Urban Medicine","Item Chemical container with samples","1","23:51:59","23:55:18",
Bot11,"Леонтий Рындин",easy,35,Failed,"Urban Medicine","Zone quest_zone_c11_gmed","1","23:55:23","23:55:44",
Bot11,"Леонтий Рындин",easy,35,Completed,"Green Corridor","Zone quest_zone_c16_koll_2","1","23:55:49","23:56:00",
Bot11,"Леонтий Рындин",easy,35,Active,"Green Corridor","Zone quest_zone_c16_koll_1","1","23:56:05","N/A",
